fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,29,TAMIL NADU,2922,DINDIGUL,3166645,265.701163144298,12,1606,10239.958938207,4318,0,5375,1095049,216669,83667,787,366,375.15049,13524.667358207,89408,92817,283184,340102,1,305481,363695,9693,2909.55793,951480,46,31.55,13.44,99.99,NA
2024-2025,July,29,TAMIL NADU,2935,TIRUPATHUR,1401421,263.789195918884,9,513,1195.756398226,3395,0,2220,584742,110408,25114,14780,5051,143.33635,2881.578968226,61445,63698,126960,145678,0,137410,158363,5615,1542.48622,529600,81,49.42,26.92,99.83,NA
2024-2025,July,29,TAMIL NADU,2936,TENKASI,1477377,255.288914614289,9,546,1890.577298071,1751,0,3099,314432,94308,62580,79,72,179.43548,2872.722818071,33048,35709,139400,188877,0,160103,212185,4850,802.71004,245839,50,17.9,27.04,100,NA
2024-2025,July,29,TAMIL NADU,2937,KALLAKURICHI,3448014,259.198381481437,9,998,3755.0494582,2785,0,4363,743643,253059,158103,53919,18710,429.30604,6111.8661182,79360,93817,285385,490304,0,304637,513841,7148,1927.51062,556822,65,10.54,50.53,99.87,NA
2024-2025,July,29,TAMIL NADU,2907,SALEM,3396738,233.873225167362,10,1422,6605.454645667,3456,0,5185,1078651,191740,82071,99839,29912,322.35309,9450.483617667,103865,107486,345191,423683,1,424557,511791,8641,2522.675882,952276,54,11.35,52.18,99.96,NA
2024-2025,July,29,TAMIL NADU,2912,THE NILGIRIS,286645,298.76410384562,16,147,615.482992047999,468,0,815,180075,52727,12824,17716,3706,96.94303,1250.425482048,11116,11427,33880,42812,0,53555,65340,1283,537.99946,151066,75,6.76,51.06,99.96,NA
2024-2025,July,29,TAMIL NADU,2922,DINDIGUL,3166645,255.340266452504,12,1689,10239.958938207,4318,0,5511,1177921,235425,83679,822,365,375.15049,13622.816048207,94152,97808,283258,340182,1,305508,363726,9829,3007.70662,1022868,46,32.21,13.42,99.91,NA
2024-2025,July,29,TAMIL NADU,2925,SIVAGANGAI,2181901,254.011505806512,7,573,7613.59214985901,3369,0,4628,447687,91470,46110,36,17,367.23696,9118.00559985901,55965,56993,186890,221615,0,198562,234259,7997,1137.17649,405376,42,21.55,16.37,99.97,NA
2024-2025,July,29,TAMIL NADU,2932,TIRUPPUR,1508621,268.845702505662,11,322,4981.918377219,1689,0,2999,624785,221119,64174,1594,257,218.53781,6880.163809619,55241,56544,140160,164766,4,174066,223769,4688,1679.7076224,541838,50,36.28,22.42,99.86,NA
2024-2025,July,29,TAMIL NADU,2935,TIRUPATHUR,1401421,254.854932788971,9,528,1197.569038226,3398,0,2230,611358,114957,25099,15209,5048,143.33635,2898.981408226,62905,65251,126948,145637,0,137364,158280,5628,1558.07602,553711,81,49.94,27.14,99.82,NA
2024-2025,July,29,TAMIL NADU,2903,CUDDALORE,4684686,287.405336039263,10,1482,6739.725872891,7873,0,9789,995345,394505,247503,15738,3348,708.99874,10309.399254891,92939,106453,407584,652598,0,453685,708254,17662,2860.674642,749114,69,14.49,24.47,99.95,NA
2024-2025,July,29,TAMIL NADU,2904,VILLUPURAM,4951400,214.037431995938,9,6724,6701.685874195,3995,0,4915,1959405,556588,174750,32391,6723,801.09504,11696.641058595,207289,219307,424583,588398,1,448054,622691,8910,4193.8601444,1615727,49,6.57,55.97,99.97,NA
2024-2025,July,29,TAMIL NADU,2907,SALEM,3396738,248.050658455665,10,1436,6605.454645667,3458,0,5226,1089595,194458,82082,100130,29917,322.35309,9630.555307667,104638,108278,345207,423722,1,424606,511869,8684,2702.747572,962205,54,11.44,52.25,99.98,NA
2024-2025,July,29,TAMIL NADU,2927,THOOTHUKKUDI,1689922,278.106256236777,12,1411,2166.455712996,974,0,2824,1084294,346474,58549,368,178,404.83102,5586.776182996,89441,93201,149396,175624,1,165675,204873,3798,3015.48945,946511,21,28.18,47.86,99.96,NA
2024-2025,July,29,TAMIL NADU,2930,KRISHNAGIRI,2845133,286.970541888838,12,2171,3042.49730435101,4027,0,6114,2073285,286695,39563,17859,2811,310.09543,9302.30993375101,166439,172429,254593,285699,0,292582,330356,10141,5949.7171994,1897846,73,52.22,29.31,99.96,NA
2024-2025,Aug,29,TAMIL NADU,2917,KARUR,1727285,283.924761472058,10,601,2313.691542054,872,0,2142,473215,104503,37594,75,26,254.35095,3911.617052054,45125,46552,127208,157277,2,140036,172936,3014,1343.57456,414378,53,51.55,16.89,99.9,NA
2024-2025,Aug,29,TAMIL NADU,2919,PUDUKKOTTAI,4230980,263.536729142976,9,877,5279.526774262,4127,0,6637,1611064,324842,83466,39,4,531.24264,10056.514784262,172623,180941,296459,428508,0,331050,473357,10764,4245.74537,1445712,44,19.29,53.25,99.94,NA
2024-2025,Aug,29,TAMIL NADU,2923,RAMANATHAPURAM,2796300,291.217347379778,13,2208,4001.976333308,9868,0,10468,1907529,449046,63754,108,19,420.907,9977.938687608,140281,148331,196833,245372,4,220901,271676,20336,5555.0553543,1673966,75,52.2,9.82,99.96,NA
2024-2025,Aug,29,TAMIL NADU,2924,VIRUDHUNAGAR,2947473,265.544559797321,13,2688,9343.678961,1725,0,3100,1577671,437086,77287,586,117,461.07986,13994.178333,121237,127176,217005,264894,1,240748,290353,4825,4189.419512,1349885,18,25.14,27.17,99.92,NA
2024-2025,Aug,29,TAMIL NADU,2905,VELLORE,1964513,261.026012592893,10,907,2506.48965546801,2250,0,2793,817604,213093,37693,14566,4465,355.75279,4996.40156546801,77048,79529,130472,151905,0,141507,178885,5043,2134.15912,726070,61,29.17,39.05,99.62,NA
2024-2025,Aug,29,TAMIL NADU,2911,COIMBATORE,524923,290.589895179767,16,178,1469.160068735,2151,0,3288,614099,218315,30938,14849,1725,240.62625,3494.295959135,37512,38177,81510,90372,0,106720,118624,5439,1784.5096404,566027,61,61.91,12.04,99.84,NA
2024-2025,Aug,29,TAMIL NADU,2917,KARUR,1727285,248.608580695655,10,674,2313.691542054,874,0,2249,540469,117448,37600,75,26,254.35095,3911.694802054,49564,51198,127238,157306,2,140063,172961,3123,1343.65231,473379,54,54.26,16.4,99.91,NA
2024-2025,Aug,29,TAMIL NADU,2921,THENI,908379,257.827986454271,12,288,2507.15164437,1088,0,1533,253364,49026,25447,105,172,187.65869,3348.05363397,19617,20658,85470,102870,0,109964,129430,2621,653.2432996,210689,41,21.9,39.54,99.97,NA
2024-2025,Aug,29,TAMIL NADU,2907,SALEM,4190194,257.407965776438,11,2061,6848.896123367,4216,0,5859,1700349,307265,82327,152030,30009,425.68095,11651.410845367,144785,150613,346266,425106,9,425407,512949,10075,4376.833772,1504757,57,11.55,57.38,99.99,NA
2024-2025,Aug,29,TAMIL NADU,2909,DHARMAPURI,3517031,261.580605707611,12,1011,4638.259319466,4106,0,4967,1294552,179950,37691,72535,8246,422.29337,8446.849652266,100883,105051,237958,271323,4,270751,306423,9073,3386.2969628,1200752,71,13.42,44.31,99.94,NA
2024-2025,Aug,29,TAMIL NADU,2911,COIMBATORE,524923,293.869014860901,18,190,1469.160068735,2252,0,3395,744504,262583,31061,18281,1763,240.62625,3897.652889135,39638,40382,81870,90775,1,106984,118931,5647,2187.8665704,685412,62,64.53,11.42,99.92,NA
2024-2025,Aug,29,TAMIL NADU,2912,THE NILGIRIS,353603,300.873963540298,20,176,635.364148548,544,0,934,270271,79635,12837,26182,3724,124.96706,1573.506278548,13070,13467,33934,42855,0,53576,65352,1478,813.17507,227922,78,9.15,56.38,100,NA
2024-2025,Aug,29,TAMIL NADU,2919,PUDUKKOTTAI,4230980,268.033025348124,11,1071,5283.121848662,4773,0,6827,2423493,477487,83490,46,4,532.73094,12311.614395662,202158,213706,296777,428705,0,331127,473268,11600,6495.761607,2177828,44,21.96,54.85,99.95,NA
2024-2025,Aug,29,TAMIL NADU,2923,RAMANATHAPURAM,2796300,291.847979651227,16,2378,4001.976333308,10704,0,10870,2498529,584402,63831,126,19,426.45194,11720.334680808,152061,161571,197500,245922,4,221287,271892,21574,7291.9064075,2190376,76,54.87,10.75,100,NA
2024-2025,Aug,29,TAMIL NADU,2930,KRISHNAGIRI,3509739,293.080721354646,16,2365,3246.87165935101,4759,0,6662,2952861,410363,39515,26433,2822,411.51861,12312.656588751,181853,189125,255772,285978,1,291301,327951,11421,8654.2663194,2698521,75,48.25,34.24,99.98,NA
2024-2025,Nov,29,TAMIL NADU,2902,TIRUVALLUR,6187873,270.361691821406,32,2827,6544.835566993,7089,0,9679,7275236,2693296,119364,225670,8562,1260.56831,27474.855010593,226539,233749,265898,311671,34,306210,371823,16768,19669.4511336,6621302,42,20.2,61.95,99.99,NA
2024-2025,Nov,29,TAMIL NADU,2904,VILLUPURAM,9081176,265.928255712446,32,10392,9056.605535829,6091,0,10464,12352109,3559685,178975,162252,6936,1529.49087,43433.844413229,376489,427173,434131,604381,316,457077,638359,16555,32847.7480074,10242810,49,11.87,72.45,99.97,NA
2024-2025,Nov,29,TAMIL NADU,2905,VELLORE,2920768,264.505445331178,31,1509,3173.84537706801,3087,0,5775,3352505,840711,38277,58335,4573,586.88997,12628.293627068,108053,114417,132959,155150,36,144537,182894,8862,8867.55828,2969623,72,41.39,41.24,99.96,NA
2024-2025,Nov,29,TAMIL NADU,2906,TIRUVANNAMALAI,11253995,229.197830428908,30,15905,8327.97351605,9161,0,10872,13654049,3122073,151325,527561,28205,1763.56773,41386.32531975,449581,492637,517421,660393,895,537726,681993,20033,31294.7840737,11384303,59,18.16,66.94,99.98,NA
2024-2025,Nov,29,TAMIL NADU,2917,KARUR,2568064,284.311649155109,27,1429,3173.164212024,2893,0,3827,2433155,508047,37935,363,27,406.58458,10497.491899024,89566,95361,128795,159821,215,141591,175464,6720,6917.743107,2126938,76,74.42,8.37,99.9,NA
2024-2025,Nov,29,TAMIL NADU,2921,THENI,1350545,280.779210483354,23,886,3707.56121467,1924,0,2459,1231209,267911,26077,749,177,348.90903,7513.44915427,52291,56466,87779,105859,50,111885,132053,4383,3456.9789096,1040547,54,27.44,45.01,100,NA
